title,price_per_m²,project_name,address,price,area,bedroom,bathroom,url,posted_date,expired_date,project_status,investor,broker_name,broker_rank,project_area_range,number_of_apartments,number_of_buildings
"Căn hộ Vista Verde 75m2 2 phòng ngủ 2 WC, sổ hồng vĩnh viễn",89.33,Vista Verde," Đường Đồng Văn Cống, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",6.7,75.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dong-van-cong-phuong-thanh-my-loi-prj-vista-verde/-75m-2-png-ngu-2-wc-so-ng-vinh-vien-pr42113592,07/02/2025,14/02/2025,Đã bàn giao,CapitaLand Development (Việt Nam),Nan,,45-318 m²,1152.0,4.0
Hot deal - Căn hộ 1PN/3PN Vista Verde giá tốt nhất thị trường,86.46,Vista Verde," Đường Nguyễn Thanh Sơn, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",4.15,48.0,1.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-thanh-son-phuong-thanh-my-loi-prj-vista-verde/t-deal-1pn-3pn-gia-tot-nhat-thi-truong-pr42114081,07/02/2025,14/02/2025,Đã bàn giao,CapitaLand Development (Việt Nam),Nan,,45-318 m²,1152.0,4.0
"Bán căn hộ La Astoria, 1PN 45m2 giá 1,85 tỷ, 2PN 67m2 giá 2,5 tỷ, 3PN giá 2,8 tỷ LH",41.11,La Astoria," Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",1.85,45.0,1.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-duy-trinh-phuong-binh-trung-tay-prj-la-astoria/ban-1pn-45m2-gia-1-85-ty-2pn-67-gia-2-5-ty-3pn-gia-2-8-ty-lh-pr42085804,08/02/2025,15/02/2025,Đã bàn giao,Công ty CP Đầu tư Xây dựng An Gia Hưng,Nan,,,622.0,3.0
"Bán gấp căn hộ 3PN The Sun Avenue, Suất SPA giá cực tốt, Chỉ 6.55tỷ bao phí, 96m2, full NT cao cấp",68.23,The Sun Avenue," Mai Chí Thọ, An Phú, Quận 2, Hồ Chí Minh",6.55,96.0,3.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-the-sun-avenue/ban-gap-3pn-suat-spa-gia-cuc-tot-6-55ty-bao-phi-96m2-full-nt-cao-cap-pr42115944,08/02/2025,15/02/2025,Đã bàn giao,Novaland Group,Nan,,,3000.0,8.0
"Căn hộ 2PN Masteri Thảo Điền 74m2 ban công 4 cánh, view đẹp, giá tốt -",97.3,Masteri Thảo Điền," Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",7.2,74.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/-2pn-70m2-ban-cong-4-canh-view-dep-gia-tot-pr42116103,08/02/2025,15/02/2025,Đã bàn giao,Masterise Homes,Nan,,45-100 m²,3021.0,5.0
Phải chốt ngay thôi! CH duplex 3PN sân vườn Vista Verde rẻ quá rẻ chỉ 14.5tỷ - sẵn sổ sang tên ngay,85.29,Vista Verde," Đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",14.5,170.0,3.0,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-van-dang-phuong-thanh-my-loi-prj-vista-verde/phai-chot-ngay-thoi-ch-duplex-3pn-san-vuon-re-qua-re-chi-14-ty-san-so-sang-ten-ngay-pr42070910,08/02/2025,18/02/2025,Đã bàn giao,CapitaLand Development (Việt Nam),Nan,,45-318 m²,1152.0,4.0
"1PN bán gấp tại Q2 Thảo Điền - Chuyên Penthouse, 1PN, 2PN, 3PN, 4PN hàng ngộp -",116.0,Q2 Thảo Điền," Đường Võ Trường Toản, Phường Thảo Điền, Quận 2, Hồ Chí Minh",5.8,50.0,1.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-truong-toan-phuong-thao-dien-prj-q2-thao-dien/1pn-ban-gap-tai-chuyen-penthouse-1pn-2pn-3pn-4pn-hang-ngop-pr42117260,08/02/2025,15/02/2025,Bàn giao năm 2021,Đang cập nhật,Nan,,,,
Nhà ở xã hội Quận 2- Thủ Thiêm Green House,28.4,Thủ Thiêm Green House," Đường Võ Chí Công, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",1.76,62.0,2.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-thanh-my-loi-prj-thu-thiem-green-house/nha-o-xa-hoi-quan-2-house-pr42075436,08/02/2025,18/02/2025,4/2023: Cất nóc,Đang cập nhật,Nan,,36-58 m²,1040.0,
"Top căn hộ bán hạ giá The Sun Avenue - 1PN - 3.4 tỷ, 2PN - 5.5 tỷ, 3PN - 6.7 tỷ em Thuận",60.67,The Sun Avenue," Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",4.55,75.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-the-sun-avenue/chu-nha-ban-1-1-55-m2-gia-3-2-ty-lh-mr-thuan-pr38412254,08/02/2025,18/02/2025,Đã bàn giao,Novaland Group,Nan,,,3000.0,8.0
Căn hiếm! Bán căn 2PN Estella Heights view hồ bơi + ban công rộng - LH,108.49,Estella Heights," Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",11.5,106.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-song-hanh-phuong-an-phu-prj-estella-heights/-hiem-ban-2pn-view-boi-ban-cong-rong-lh-mr-trung-pr42118502,08/02/2025,15/02/2025,Đã bàn giao,Công ty TNHH Keppel Land Việt Nam,Nan,,,872.0,4.0
"Hot deal - chuyển nhượng 1 phòng ngủ Galleria giá chỉ 9 tỷ all in, gọi em",180.0,The Galleria Residence," Đường Đại Lộ Vòng Cung, Phường An Khánh, Quận 2, Hồ Chí Minh",9.0,50.0,1.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-vong-cung-phuong-an-khanh-prj-the-galleria-residence/ban-1pn-view-bason-gia-9-ty-all-in-pr42118915,08/02/2025,15/02/2025,Đã bàn giao 3 tháp căn hộ cao 12 tầng,Công ty CP bất động sản SơnKim Land,Nan,,49-345 m²,456.0,
CẬP NHẬT 100 CĂN HỘ FELIZ EN VISTA ĐANG CHUYỂN NHƯỢNG TỪ 1PN-2PN-3PN-4PN VÀ PENTHOUSE GIÁ TỐT NHẤT,85.88,Feliz En Vista," Đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",7.3,85.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-van-dang-phuong-thanh-my-loi-prj-feliz-en-vista/sieu-pham-duplex-2pn-102m2-noi-that-cao-cap-view-landmark-81-cuc-dep-gia-chi-8-750-ty-pr41705151,08/02/2025,18/02/2025,Đã bàn giao,CapitaLand Development (Việt Nam),Nan,,,1127.0,4.0
"Full giỏ hàng Zeit River Thủ Thiêm giá rẻ (1pn - 10,8 tỷ) (2pn-14,5 tỷ) (3pn-23,5 tỷ) (4pn - 43 tỷ)",164.77,Zeit River Thủ Thiêm," Phường An Khánh, Quận 2, Hồ Chí Minh",14.5,88.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-an-khanh-prj-zeit-river-thu-thiem/full-gio-hang-gia-re-nhat-1pn-9-8-ty-2pn-13-4-ty-3pn-22-5-ty-4pn-39-ty-pr40507852,09/02/2025,24/02/2025,23/7/2023 mở bán tiếp GĐ2,Công ty GS Engineering & Construction,Nan,,50-140 m²,300.0,2.0
"Căn hộ Thảo Điền Green, 3,6 tỷ (thanh toán trước 30%), 84m2, 2PN, 2WC Thảo Điền hỗ trợ lãi 24 tháng",141.67,Thảo Điền Green," Nguyễn Văn Hưởng, Thảo Điền, Quận 2, Hồ Chí Minh",11.9,84.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-huong-phuong-thao-dien-prj-thao-dien-green/ban-11-9-ty-84m2-2pn-2wc-o-quan-2-hcm-pr42122191,09/02/2025,16/02/2025,Bàn giao ngày 2/8/2023,Công ty Cổ phần Đầu tư Bất động sản SIC,Nan,,54-400 m²,204.0,1.0
Giỏ hàng chuyển nhượng Zeit River 2 phòng ngủ và các căn 1 - 2 - 3 - 4PN. LH hotline,153.61,Zeit River Thủ Thiêm," Phường An Khánh, Quận 2, Hồ Chí Minh",14.9,97.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-an-khanh-prj-zeit-river-thu-thiem/-ban-4pn-201m2-view-song-vinh-vien-tt-10-nhan-nha-t7-25-goi-ms-hang-0938960186-pr37405621,07/02/2025,17/02/2025,23/7/2023 mở bán tiếp GĐ2,Công ty GS Engineering & Construction,Nan,,50-140 m²,300.0,2.0
Cần Bán căn hộ 2PN. 65m2 Tropic Garden nội thất đẹp tại trung tâm Thảo Điền,72.31,Tropic Garden," 66, Thảo Điền, Quận 2, Hồ Chí Minh",4.7,65.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-66-1-phuong-thao-dien-prj-tropic-garden/-ban-2pn-65m2-noi-that-dep-tai-trung-tam-dien-pr42107396,06/02/2025,13/02/2025,Đã bàn giao,Novaland Group,Nan,,,1008.0,5.0
BÁN CĂN HỘ 2PN GIÁ 5 TỶ - GIÁ TỐT NHẤT LÚC NÀY - THE SUN AVENUE,68.49,The Sun Avenue," Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",5.0,73.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-the-sun-avenue/hang-khang-hiem-duy-nhat-2-phong-ngu-ban-cong-dai-tang-cao-avenue-pr41780865,06/02/2025,13/02/2025,Đã bàn giao,Novaland Group,Nan,,,3000.0,8.0
"Gọi ngay: Giỏ hàng lớn 222 căn hộ Đảo Kim Cương Q2 từ 1 - 4PN, garden/duplex/sky villa giá tốt nhất",91.11,Diamond Island," Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",8.2,90.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-binh-trung-tay-prj-diamond-island/goi-ngay-gio-hang-n-200-dao-kim-cuong-q2-tu-1-4pn-garden-duplex-sky-villa-gia-tot-nhat-pr40492813,07/02/2025,14/02/2025,Đã bàn giao,Kusto Home,Nan,,,1275.0,6.0
