title,price_per_m²,project_name,address,price,area,bedroom,bathroom,url,posted_date,expired_date,project_status,investor,broker_name,broker_rank,project_area_range,number_of_apartments,number_of_buildings,update_date
"Môi giới có tâm, nhà rẻ, rổ hàng mới nhất tháng 02/2025 giá cạnh tranh, Liên hệ em:",,Masteri Thảo Điền," Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",,78.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/moi-gioi-co-tam-tai-ro-hang-moi-nhat-thang-8-gia-canh-tranh-lh-0938799091-liem-pr37899196,2025-02-19,2025-03-01,Đã bàn giao,Masterise Homes,Nguyễn Liêm,Môi giới chuyên nghiệp,45-100 m²,3021.0,5.0,2025-02-22
"Nắm giỏ hàng độc quyền hơn 99 căn The Opera Metropole Thủ Thiêm đẹp nhất, giá tốt nhất thị trường",193.83,The Opera Residence," Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",15.7,81.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-vong-cung-phuong-thu-thiem-prj-the-opera-residence/nam-gio-hang-doc-quyen-hon-99-metropole-dep-nhat-gia-tot-nhat-thi-truong-pr40284815,2025-02-21,2025-03-08,Đang mở bán,Đang cập nhật,Unknown,Updating,Updating,646.0,2.0,2025-02-22
"Giỏ hàng độc quyền hơn 99 căn The River Thủ Thiêm sổ hồng, view đẹp nhất, giá tốt nhất thị trường",117.02,The River Thủ Thiêm," Đường Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, Hồ Chí Minh",11.0,94.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-co-thach-phuong-an-khanh-prj-the-river-thu-thiem/gio-hang-doc-quyen-hon-99-view-dep-nhat-gia-tot-nhat-thi-truong-pr40790843,2025-02-21,2025-03-08,Đã bàn giao,Công Ty Cổ phần Phát triển Bất động sản Refico,Unknown,Updating,57-185 m²,525.0,3.0,2025-02-22
"The Opera (1PN - 9,3 tỷ)(2PN - 12 tỷ)(3PN - 22 tỷ)(4PN - 30 tỷ) loft, duplex giá rẻ nhất thị trường",166.67,The Opera Residence," Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",14.0,84.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-vong-cung-phuong-thu-thiem-prj-the-opera-residence/-1pn-9-3-ty-2pn-12-ty-3pn-22-ty-4pn-30-ty-loft-duplex-gia-re-nhat-thi-truong-pr41728219,2025-02-18,2025-02-25,Đang mở bán,Đang cập nhật,Cao Trung Nghĩa,Môi giới chuyên nghiệp,Updating,646.0,2.0,2025-02-22
Sàn GD Empire City - Quỳnh House chuyên list danh sách 2 phòng ngủ trực tiếp chính chủ (T2/2025),126.32,Empire City Thủ Thiêm," Đường Mai Chí Thọ, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",12.0,95.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-thu-thiem-prj-empire-city-thu-thiem/san-gd-quynh-house-chuyen-list-danh-sach-2-phong-ngu-truc-tiep-chinh-chu-thang-1-2025-pr41965583,2025-02-22,2025-03-09,"Đã bàn giao phân khu Linden, Tilia, Cove",Công ty TNHH Keppel Land Việt Nam,Quỳnh House,Môi giới chuyên nghiệp,Updating,,,2025-02-22
"Sẵn key các căn the opera giá tốt nhất (1pn-10,8tỷ)(2pn-13,8tỷ)(3pn-27tỷ)(4pn-55tỷ) LH:",214.29,The Opera Residence," Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",15.0,70.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-vong-cung-phuong-thu-thiem-prj-the-opera-residence/san-key-cac-gia-tot-nhat-1pn-10-8ty-2pn-13-8ty-3pn-46ty-4pn-55ty-lh-pr42201145,2025-02-18,2025-03-05,Đang mở bán,Đang cập nhật,Unknown,Updating,Updating,646.0,2.0,2025-02-22
Nắm full giỏ hàng đang bán tại Empire City 1PN-2PN-3PN-4PN mới nhất. Cam kết giá rẻ nhất thị trường,137.5,Empire City Thủ Thiêm," Đường Mai Chí Thọ, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",8.8,64.0,1.0,1.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-thu-thiem-prj-empire-city-thu-thiem/nam-full-gio-hang-dang-ban-tai-1pn-2pn-3pn-4pn-moi-nhat-cam-ket-gia-re-nhat-thi-truong-pr42206516,2025-02-19,2025-02-26,"Đã bàn giao phân khu Linden, Tilia, Cove",Công ty TNHH Keppel Land Việt Nam,Nguyễn Trường,Môi giới chuyên nghiệp,Updating,,,2025-02-22
Tấn Trường: Full giỏ hàng The River Thủ Thiêm T2/2025 - Đã có sổ - Hỗ trợ vay Bank 70%,198.02,The River Thủ Thiêm," Đường Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, Hồ Chí Minh",40.0,202.0,4.0,3.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-co-thach-phuong-an-khanh-prj-the-river-thu-thiem/tan-truong-full-gio-hang-t1-2025-da-so-tro-vay-bank-70-pr42085179,2025-02-14,2025-02-24,Đã bàn giao,Công Ty Cổ phần Phát triển Bất động sản Refico,Nguyễn Tấn Trường,Môi giới chuyên nghiệp,57-185 m²,525.0,3.0,2025-02-22
Đã có sổ hồng 2 phòng ngủ view sông Lumiere Riverside lầu cao,124.67,Lumiere Riverside," Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh",9.35,75.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-nguyen-giap-phuong-an-phu-prj-lumiere-riverside/da-co-so-hong-2-phong-ngu-view-song-lau-cao-pr41689351,2025-02-14,2025-02-24,Đang mở bán,Công ty CP Ðịa ốc Thảo Ðiền,Võ Văn Hiệp,Môi giới chuyên nghiệp,Updating,,2.0,2025-02-22
"Bán căn hộ Masteri Thảo Điền 2 phòng ngủ ở tháp 4 - tầng cao, view thoáng - hỗ trợ vay",93.84,Masteri Thảo Điền," Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",6.4,68.2,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-2-png-ngu-huong-mat-tang-cao-view-tang-tro-vay-pr42196841,2025-02-18,2025-03-05,Đã bàn giao,Masterise Homes,Lê Hoàng Sang,Môi giới chuyên nghiệp,45-100 m²,3021.0,5.0,2025-02-22
"Cần bán Citisoho 2 phòng ngủ - 2WC, tầng cao thoáng đẹp, đã có sổ hồng, giá chỉ 2.15 tỷ",36.44,Citi Soho," Phường Cát Lái, Quận 2, Hồ Chí Minh",2.15,59.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-cat-lai-prj-citi-soho/-ban-citisoho-2-phong-ngu-2wc-tang-cao-thoang-dep-da-co-so-hong-gia-chi-2-15-ty-pr42093540,2025-02-17,2025-02-27,Bàn giao năm 2019,Công ty CP Kiến Á,Phan Ngọc Giảng,Môi giới chuyên nghiệp,56-60 m²,781.0,,2025-02-22
"Đã có sổ hồng căn 2 phòng ngủ, giá tốt 9 tỷ all in",120.0,Lumiere Riverside," Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh",9.0,75.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-nguyen-giap-phuong-an-phu-prj-lumiere-riverside/da-co-so-hong-2-phong-ngu-gia-tot-pr41500634,2025-02-18,2025-02-28,Đang mở bán,Công ty CP Ðịa ốc Thảo Ðiền,Võ Văn Hiệp,Môi giới chuyên nghiệp,Updating,,2.0,2025-02-22
"Vista Verde tháp Orchid. 130m2 thông tuỷ. Giá 10,5tỷ all in. Có hợp tác không đăng ảnh",80.77,Vista Verde," Đường Đồng Văn Cống, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.5,130.0,3.0,3.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dong-van-cong-phuong-thanh-my-loi-prj-vista-verde/-thap-ochid-137m2-thong-tuy-gia-10-5ty-all-in-co-hop-tac-khong-dang-anh-pr39417889,2025-02-22,2025-03-04,Đã bàn giao,CapitaLand Development (Việt Nam),Trần Ngọc Khánh,Môi giới chuyên nghiệp,45-318 m²,1152.0,4.0,2025-02-22
"Bán căn hộ 160m2, 3PN, 14 tỷ tại Vista Verde,",87.5,Vista Verde," Đường Đồng Văn Cống, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",14.0,160.0,3.0,3.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dong-van-cong-phuong-thanh-my-loi-prj-vista-verde/ban-145m2-3-pn-14-ty-tai-verde-pr41367318,2025-02-22,2025-03-04,Đã bàn giao,CapitaLand Development (Việt Nam),Trần Ngọc Khánh,Môi giới chuyên nghiệp,45-318 m²,1152.0,4.0,2025-02-22
Bán gấp Duplex Masteri Thảo Điền giá tốt. Liên hệ em:,90.91,Masteri Thảo Điền," Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",13.0,143.0,4.0,4.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-gap-duplex-gia-tot-lien-he-em-de-tu-van-pr41247565,2025-02-17,2025-03-19,Đã bàn giao,Masterise Homes,Nguyễn Liêm,Môi giới chuyên nghiệp,45-100 m²,3021.0,5.0,2025-02-22
"Bán căn hộ Masteri Thảo Điền 2 phòng ngủ, hướng mát, tầng cao, view thoáng - hỗ trợ vay",102.17,Masteri Thảo Điền," Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",6.58,64.4,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-2-png-ngu-huong-mat-tang-cao-view-tang-tro-vay-pr42185354,2025-02-17,2025-03-04,Đã bàn giao,Masterise Homes,Lê Hoàng Sang,Môi giới chuyên nghiệp,45-100 m²,3021.0,5.0,2025-02-22
Bán nhanh CH The Krista 3PN2WC 101.8m2 NTCB tầng trung view thoáng giá 5.2tỷ sẵn Sổ công chứng ngay,51.08,The Krista," Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",5.2,101.8,3.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-duy-trinh-phuong-binh-trung-dong-prj-the-krista/ban-nhanh-ch-3pn2wc-101-8m-ntcb-tang-view-thoang-gia-5-2ty-san-so-cong-ngay-pr41956155,2025-02-21,2025-03-08,Đã bàn giao,CapitaLand Development (Việt Nam),Bình Phương,Môi giới chuyên nghiệp,70-152 m²,344.0,2.0,2025-02-22
"Chuyên chuyển nhượng căn hộ tại Masteri TD giá rẻ, uy tín, hỗ trợ vay, pháp lý chuẩn LH:",,Masteri Thảo Điền," Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",,70.0,2.0,,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-hon-50-ch-tai-gia-re-hon-thi-truong-500tr-lh-0906574444-pr30267738,2025-02-22,2025-03-04,Đã bàn giao,Masterise Homes,Hồ Dung,Môi giới chuyên nghiệp,45-100 m²,3021.0,5.0,2025-02-22
"Cần bán căn 1PN/2PN/3PN giá tốt nhất thị trường, giỏ hàng đầy đủ cho khách đầu tư/ở, LH",180.72,The Metropole Thủ Thiêm," Phường An Khánh, Quận 2, Hồ Chí Minh",15.0,83.0,2.0,2.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-an-khanh-prj-the-metropole-thu-thiem/-ban-1pn-2pn-3pn-gia-tot-nhat-thi-truong-gio-hang-day-du-cho-khach-dau-tu-o-lh-pr42190321,2025-02-17,2025-02-27,Đang bán giai đoạn 4 - The OpusK,Công ty CP bất động sản SơnKim Land,Unknown,Updating,Updating,1300.0,5.0,2025-02-22
